,location,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,Name_2010,lat,lng
0,"Abbeville, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2524.0,2996.0,3155.0,3173.0,2987.0,2688.0,Abbeville city,31.571835200000002,-85.2504893
1,"Abbeville, GA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2908.0,Abbeville city,31.9921223,-83.3068243
2,"Abbeville, LA",0.0,0.0,0.0,2907.0,3461.0,4356.0,6672.0,9338.0,10414.0,10996.0,12391.0,11187.0,11887.0,12257.0,Abbeville city,29.9746502,-92.1342921
3,"Abbeville, SC",0.0,0.0,3766.0,4459.0,4570.0,4414.0,4930.0,5395.0,5436.0,5515.0,5833.0,5778.0,5840.0,5237.0,Abbeville city,34.178171899999995,-82.3790148
4,"Aberdeen, MD",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2944.0,9679.0,12375.0,11533.0,13087.0,13842.0,14959.0,Aberdeen city,39.509555600000006,-76.1641197
5,"Aberdeen, MS",0.0,3449.0,3434.0,3708.0,4071.0,3925.0,4746.0,5290.0,6450.0,6157.0,7184.0,6837.0,6415.0,5612.0,Aberdeen city,33.8251139,-88.5436553
6,"Aberdeen, NC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.0,3400.0,6350.0,Aberdeen town,35.131547,-79.4294789
7,"Aberdeen, SD",0.0,3182.0,4087.0,10753.0,14537.0,16465.0,17015.0,21051.0,23073.0,26476.0,25851.0,24927.0,24658.0,26091.0,Aberdeen city,45.4646985,-98.4864829
8,"Aberdeen, WA",0.0,0.0,3747.0,13660.0,15337.0,21723.0,18846.0,19653.0,18741.0,18489.0,18739.0,16565.0,16461.0,16896.0,Aberdeen city,46.9753708,-123.81572179999999
9,"Abernathy, TX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2625.0,2904.0,2720.0,2839.0,2805.0,Abernathy city,33.83230379999999,-101.8429491
10,"Abilene, KS",0.0,3547.0,3507.0,4118.0,4895.0,5658.0,5671.0,5775.0,6746.0,6661.0,6572.0,6242.0,6543.0,6844.0,Abilene city,38.917221600000005,-97.2139094
11,"Abilene, TX",0.0,3194.0,3411.0,9204.0,10274.0,23175.0,26612.0,45570.0,90368.0,89653.0,98315.0,106654.0,115930.0,117063.0,Abilene city,32.4487364,-99.7331439
12,"Abingdon, IL",0.0,0.0,0.0,0.0,2721.0,2771.0,3218.0,3300.0,3469.0,3936.0,4210.0,3597.0,3612.0,3319.0,Abingdon city,40.8044833,-90.4017954
13,"Abingdon, VA",0.0,0.0,0.0,0.0,2532.0,2877.0,3158.0,4709.0,4758.0,4376.0,4318.0,7003.0,7780.0,8191.0,Abingdon town,36.7098335,-81.97734820000001
14,"Abington, MA",0.0,4260.0,4489.0,5455.0,5787.0,5872.0,5708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abington town,42.104822799999994,-70.9453218
15,"Abington, PA",0.0,0.0,0.0,0.0,0.0,18648.0,20857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abington township,40.1206656,-75.1179512
16,"Absecon, NJ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4320.0,6094.0,6859.0,7298.0,7638.0,8411.0,Absecon city,39.428450299999994,-74.49570759999999
17,"Acworth, GA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3929.0,3648.0,4519.0,13422.0,20425.0,Acworth city,34.0659329,-84.67687959999999
18,"Ada, OH",0.0,0.0,2576.0,0.0,0.0,0.0,0.0,3640.0,3918.0,5309.0,5669.0,5413.0,5582.0,5952.0,Ada village,40.7694969,-83.82271490000001
19,"Ada, OK",0.0,0.0,0.0,4349.0,8012.0,11261.0,15143.0,15995.0,14347.0,14859.0,15902.0,15820.0,15691.0,16810.0,Ada city,34.7784784006,-96.7021280885
20,"Adairsville, GA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2542.0,4648.0,Adairsville city,34.3687021,-84.9341093
21,"Adams, MA",5591.0,9213.0,11134.0,13026.0,12967.0,12697.0,12608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adams town,42.6242495,-73.117603
22,"Adamsville, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4161.0,4965.0,4522.0,Adamsville city,33.600938899999996,-86.9561059
23,"Addis, LA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3593.0,Addis town,30.3538043,-91.2653865
24,"Addison, IL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6741.0,24482.0,29826.0,32058.0,35914.0,36942.0,Addison village,41.931696,-87.9889556
25,"Addison, TX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5553.0,8783.0,14166.0,13056.0,Addison town,32.96179,-96.82916850000001
26,"Adel, GA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2776.0,4321.0,4972.0,5592.0,5093.0,5307.0,5334.0,Adel city,31.1371358,-83.4234936
27,"Adel, IA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2846.0,3304.0,3435.0,3682.0,Adel city,41.6144325,-94.017453
28,"Adelanto, CA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2115.0,2164.0,8517.0,18130.0,31765.0,Adelanto city,34.582769899999995,-117.40921499999999
29,"Adrian, MI",7849.0,8756.0,9654.0,10763.0,11878.0,13064.0,14230.0,18393.0,20347.0,20382.0,21276.0,22097.0,21574.0,21133.0,Adrian city,41.897547100000004,-84.0371659
30,"Afton, MN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2550.0,2645.0,2839.0,2886.0,Afton city,44.902745200000005,-92.7835373
31,"Agawam, MA",0.0,0.0,2536.0,3501.0,5023.0,7095.0,7842.0,10166.0,15718.0,21717.0,26271.0,27323.0,28144.0,28438.0,Agawam Town city,42.0695391,-72.6148117
32,"Agoura Hills, CA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11399.0,20390.0,20537.0,20330.0,Agoura Hills city,34.1363945,-118.7745348
33,"Ahoskie, NC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3579.0,4583.0,5105.0,4887.0,4391.0,4523.0,5039.0,Ahoskie town,36.2868223,-76.98468079999999
34,"Aiken, SC",0.0,0.0,3414.0,3911.0,4103.0,6033.0,6168.0,7083.0,11243.0,13436.0,14978.0,19872.0,25337.0,29524.0,Aiken city,33.56041679999999,-81.71955329999999
